gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,1,-0.21871512695797646,1,0,0.05663243429154655,-0.17879631779419813,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.2774445836787656,1,0,-1.4720846792650797,-0.9967507499001681,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,0,0,-1.2774445836787656,1,0,-0.6412601610277828,-0.9857211593917273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.6137012404433893,1,0,1.1533207983647784,2.19344800876125,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,-1.1145631287986442,1,1,0.15633137648002218,-0.8661603982802291,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.5549717837226001,1,1,0.32249628012748155,0.5597450626509981,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0.06632741908223598,1,1,1.3859516634712215,0.5601862462713357,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.8702409464784621,1,1,1.0868548369057947,-0.5180665218338373,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,1,-0.9109613101984924,1,0,-0.5083282381098153,-0.7960122026465455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,1.5322605130033284,1,1,0.15633137648002218,1.143872175978023,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
0,0,1,1,-0.62591876415828,1,0,-1.4720846792650797,-0.8211596690057905,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,0,0,1.247217966963116,1,1,0.4886611837749409,1.139019156154309,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
0,0,1,0,-0.7888002190384014,1,1,0.3889622415864653,-0.5727732907557036,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0.6771328748826912,1,1,0.6548260874224002,0.7176887987318704,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.2367242199587352,1,0,-0.5083282381098153,-0.9627796111341704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-1.2367242199587352,1,1,0.5218941645044328,-0.9420439809783018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0.7992939660427822,1,1,0.4886611837749409,0.854896904656874,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
0,0,1,1,1.4915401492832983,1,1,-0.009833527167437194,0.8712206986093664,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0.43281069256250915,1,1,0.8542239717993515,0.6876883125489114,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-0.7073594915983407,1,1,1.1533207983647784,-0.3764465797054573,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,1,1,0,-0.30015585439803716,1,1,0.15633137648002218,-0.23262071947538926,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,1,0,-0.9924020376385531,1,1,0.5218941645044328,-0.7263051906331996,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1.125056875803025,1,1,0.32249628012748155,0.9603397899175681,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
1,1,0,0,-0.5851984004382496,1,1,1.020388875446811,-0.23262071947538926,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,1.247217966963116,1,1,1.1533207983647784,1.7787354056438758,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1,1,1,1,1.369379058123207,1,1,1.4524176249302052,2.1162408752021644,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,1,1,0.06632741908223598,1,0,-1.3391527563471122,-0.6111562657250776,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,1.6137012404433893,1,1,1.4191846442007134,2.4590405482045044,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,1,0,0.5956921474426305,1,1,1.1865537790942702,1.0710768786223137,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1.125056875803025,1,1,0.8209909910698596,1.3988763085331744,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,1.6137012404433893,0,0,-0.7409591032162584,0.3012114611331457,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,-0.5851984004382496,1,1,-0.3421633344623559,-0.5833616976438069,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,-0.9516816739185228,1,0,0.987155894717319,-0.62748005967757,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.1960038562387048,1,1,0.35572926085697343,-0.8979256189445385,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,0.5956921474426305,1,1,0.455428203045449,0.6047457919254365,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,-0.055833672077855064,1,0,0.4886611837749409,0.0960610776761467,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,1,1,0.7178532386027215,1,0,-1.4720846792650797,-0.5952736553929229,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-0.9109613101984924,1,1,0.4886611837749409,-0.614244551067441,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.2774445836787656,1,0,-0.5083282381098153,-0.9839564249103768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0.7992939660427822,1,1,-1.4720846792650797,-0.5246842761389017,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,1,1.2879383306831464,1,1,1.552116567118681,2.12638809846993,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,1,1.2064976032430856,1,1,-1.3391527563471122,-0.3773289469461326,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,-1.1960038562387048,1,1,-0.009833527167437194,-0.9274849215071599,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,0.9621754209229036,1,0,1.518883586389189,1.702851822945803,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,0.5549717837226001,1,0,-0.30893035373286404,0.18032714916063444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
0,0,1,1,-0.9924020376385531,1,0,-0.3421633344623559,-0.7929239173041821,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,-0.0965540357978854,1,1,0.32249628012748155,-0.07423579977417931,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0.5142514200025698,1,1,-1.3059197756176202,-0.4690951399763601,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,0,0,1,-1.2774445836787656,1,1,0.4886611837749409,-0.9707209163002478,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,-0.8702409464784621,0,0,-0.47509525738032343,-0.7563056768161586,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,-1.0331224013585834,1,1,0.35572926085697343,-0.7867473466194552,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.3920903288424788,1,1,1.286252721282746,0.9034271028940135,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,0.6771328748826912,1,1,-1.4720846792650797,-0.5763027597184047,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-0.9516816739185228,1,1,1.1533207983647784,-0.6005678588369745,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,0,0.10704778280226633,1,1,-0.07629948862642094,-0.028352703259065564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0.6364125111626608,1,0,-1.4720846792650797,-0.5392433356100436,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,0.5549717837226001,1,1,-1.5053176599945715,-0.5965972062539358,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,1,0,-0.13727439951791576,0,0,-1.0400559297816854,-0.56042014938625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,-0.0965540357978854,1,0,0.5883601259634165,0.12826748196079385,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,-1.2774445836787656,1,0,0.32249628012748155,-0.972926834401936,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,1,1,1.369379058123207,1,1,0.6548260874224002,1.5153487843023092,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,0,0,1.3286586944031769,1,1,1.552116567118681,2.129917567432631,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,1.6137012404433893,1,1,1.1865537790942702,2.2852142017914776,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,-0.8295205827584317,1,1,0.455428203045449,-0.5965972062539358,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1.5729808767233588,1,1,0.05663243429154655,1.0891654070561567,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,-1.1145631287986442,1,0,-1.4388516985355877,-0.9557206732087683,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0.7992939660427822,1,0,-1.4388516985355877,-0.517184154593162,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,1,0,-0.30015585439803716,1,1,1.1200878176352864,0.10356119922188645,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,-1.2774445836787656,1,0,-1.4720846792650797,-0.9967507499001681,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-1.2774445836787656,1,0,-1.5053176599945715,-0.9971919335205057,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0.22920887396235737,1,0,1.020388875446811,0.5848925290102431,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,1.369379058123207,0,0,-0.6412601610277828,0.3298883964550917,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,1,0,1.4508197855632678,1,1,1.518883586389189,2.3522741120827977,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,-1.1145631287986442,0,0,-1.3391527563471122,-0.9614560602731576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1.6137012404433893,1,1,1.3194857020122377,2.2163895570188066,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,-0.015113308357824713,0,0,-1.139754871970161,-0.5965972062539358,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0.43281069256250915,1,0,0.987155894717319,0.7243065530369349,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
1,0,1,1,1.6137012404433893,1,0,-1.5053176599945715,-0.40424114778672815,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,0,0.9214550572028734,1,1,1.0536218561763027,1.3053453810215965,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.7992939660427822,1,0,-0.2424643922738803,0.3365061507601562,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0.43281069256250915,1,1,0.8874569525288434,0.7388656125080767,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,0.18848851024232702,1,1,0.3889622415864653,0.25974020082140825,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,1.2879383306831464,0,1,-0.3421633344623559,0.504597110108794,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
1,0,1,1,-1.1960038562387048,1,0,0.8209909910698596,-0.896160884463188,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.14776814652229667,0,0,-1.106521891240669,-0.508801665806747,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,-0.9109613101984924,1,1,1.1865537790942702,-0.5361550502676802,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0.35136996512244845,1,0,-1.4720846792650797,-0.6371860993249979,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,1,1,-0.21871512695797646,1,1,0.6880590681518921,-0.05658845496067402,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0.9621754209229036,1,1,1.1533207983647784,1.4275532438551206,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
0,0,0,0,-1.0738427650786138,1,0,-1.4720846792650797,-0.9561618568291059,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,-1.1960038562387048,1,1,0.32249628012748155,-0.904543373249603,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,-1.0331224013585834,1,0,-0.47509525738032343,-0.8511601551887495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,-1.1552834925186746,1,0,-1.4720846792650797,-0.9782210378459876,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0.025607055362205634,1,1,0.7877580103403677,0.3298883964550917,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,1,0,0,-0.21871512695797646,1,1,0.455428203045449,-0.06364739288607614,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1.6137012404433893,1,1,-1.372385737076604,-0.2454150444651806,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-1.2774445836787656,1,0,-1.5053176599945715,-0.9971919335205057,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,1,0,0,1.5729808767233588,0,1,-0.27569737300337216,0.7525423047385433,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,-0.7888002190384014,1,1,0.6880590681518921,-0.4695363235966977,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,-0.30015585439803716,0,1,-0.20923141154438843,-0.34291662455979727,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,1.4100994218432374,1,0,-0.47509525738032343,0.43268417999376,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,-1.2774445836787656,0,1,-0.9735899683227015,-0.9901329955951036,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.2367242199587352,1,0,-0.6744931417572747,-0.9698385490595726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.43281069256250915,1,1,-1.3059197756176202,-0.4814482813458138,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,-0.38159658183809786,1,1,0.35572926085697343,-0.2211499453466108,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.2879383306831464,1,0,-1.4720846792650797,-0.4421829391357645,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,0,1,1.002895784642934,1,1,-1.5053176599945715,-0.48938958651189113,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,-1.2774445836787656,1,1,0.18956435720951403,-0.9746915688832866,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1.6137012404433893,1,1,0.7877580103403677,1.8290303383623658,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,-0.9924020376385531,1,0,0.2227973379390059,-0.7571880440568338,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,1.1657772395230555,1,1,1.2197867598237622,1.6287329747290809,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1.2879383306831464,1,1,0.6548260874224002,1.3278457456588157,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1.5729808767233588,1,0,-1.372385737076604,-0.23085598499403873,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,1.3286586944031769,1,1,1.1533207983647784,1.825059685779327,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
1,0,0,0,-1.1960038562387048,1,0,-1.5053176599945715,-0.9786622214663252,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,0,-1.2774445836787656,1,1,-0.6412601610277828,-0.9857211593917273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,-0.0965540357978854,1,0,-0.009833527167437194,-0.15453121867562836,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
1,0,1,1,-0.7073594915983407,1,1,0.15633137648002218,-0.5330667649253167,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,-0.9924020376385531,1,1,0.1230983957505303,-0.7567468604364962,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,-1.0331224013585834,1,0,1.020388875446811,-0.7165991509857718,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,1.5322605130033284,1,1,1.4524176249302052,2.4930116869705023,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
1,0,1,1,1.2064976032430856,1,0,0.721292048881384,1.295198157753831,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,1,1,-1.0738427650786138,1,0,-1.5053176599945715,-0.9557206732087683,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-0.748079855318371,1,1,0.5218941645044328,-0.4973308916779685,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,-0.4223169455581282,1,1,0.6548260874224002,-0.20217904967209263,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,1,-0.4223169455581282,1,0,-1.4720846792650797,-0.8207184853854529,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
